"id","cnt_airlines","cnt_entertainment","cnt_auto_rentals","cnt_vehicles","cnt_business_serv","cnt_clothing_stores","cnt_contracted_serv","cnt_direct_marketing","cnt_govt_serv","cnt_hotel","cnt_misc","cnt_personal_serv_prov","cnt_repair_serv","cnt_retail_stores","cnt_service_prov","cnt_transport","cnt_utilities","cnt_wholesale_distributor","tot_tran_cnt","amt_airlines","amt_entertainment","amt_auto_rentals","amt_vehicles","amt_business_serv","amt_clothing_stores","amt_contracted_serv","amt_direct_marketing","amt_govt_serv","amt_hotel","amt_misc","amt_personal_serv_prov","amt_repair_serv","amt_retail_stores","amt_service_prov","amt_transport","amt_utilities","amt_wholesale_distributor","tot_tran_amt","payment"
1,3,1,1,1,3,1,3,1,1,1,4,1,3,4,2,1,1,2,34,16,6,8,7,2,15,1,2,10,26,42,15,1,25,7,10,9,1,203,203
4,3,3,2,2,3,1,0,3,2,1,3,1,1,2,2,1,2,1,33,10,4,5,5,2,10,0,2,6,16,27,9,1,16,5,6,6,1,131,65.5
5,1,1,1,1,2,1,1,1,1,1,4,1,2,4,1,1,1,1,26,2847,1103,1388,1246,392,2669,71,392,1744,4520,7438,2562,178,4413,1246,1673,1530,178,35590,8897.5
6,2,1,3,1,1,1,3,3,1,1,4,1,3,3,2,1,1,2,34,31,12,15,13,4,29,1,4,19,48,80,27,2,47,13,18,16,2,381,381
7,3,2,3,3,2,1,1,1,2,1,3,1,2,2,3,1,1,2,34,90,35,44,39,12,84,2,12,55,142,234,81,6,139,39,53,48,6,1121,1121
8,1,1,1,1,2,1,2,2,1,1,4,1,1,3,3,1,1,1,28,3052,1183,1488,1335,420,2862,76,420,1870,4845,7974,2747,191,4731,1335,1793,1641,191,38154,38154
9,2,1,3,1,2,2,3,3,1,1,5,1,3,4,1,1,1,3,38,533,207,260,233,73,500,13,73,327,847,1393,480,33,827,233,313,287,33,6665,6665
10,3,3,3,2,3,1,3,3,1,1,3,1,1,2,1,1,2,3,37,309,120,151,135,43,290,8,43,190,491,808,278,19,480,135,182,166,19,3867,580.05
12,3,1,2,2,3,1,3,3,1,1,3,1,3,3,3,1,1,2,37,98,38,48,43,14,92,3,14,60,155,256,88,6,152,43,58,53,6,1227,613.5
13,1,1,2,1,3,1,1,2,1,1,3,1,2,3,2,1,1,1,28,795,308,388,348,109,745,20,109,487,1262,2076,715,50,1232,348,467,427,50,9936,4968
15,1,1,2,1,2,1,2,2,1,1,4,1,3,3,1,1,1,1,29,2338,906,1140,1023,322,2192,59,322,1432,3712,6108,2104,146,3624,1023,1374,1257,146,29228,1461.4
18,1,1,1,1,3,1,3,1,1,1,4,1,1,3,3,1,1,1,29,274,106,134,120,38,257,7,38,168,435,716,247,17,425,120,161,147,17,3427,3427
19,2,1,2,1,1,1,2,3,1,1,4,1,2,3,2,1,1,1,30,42,16,20,18,6,39,1,6,26,66,109,38,3,65,18,25,23,3,524,524
22,3,2,3,1,1,1,1,1,3,1,3,1,1,2,3,1,1,3,32,164,64,80,72,23,154,4,23,101,260,428,148,10,254,72,96,88,10,2051,1025.5
24,2,3,1,1,2,1,3,3,2,1,2,1,3,2,3,3,2,3,38,1718,666,838,752,236,1611,43,236,1053,2728,4489,1547,107,2663,752,1010,924,107,21480,10740
