id,cnt_airlines,cnt_entertainment,cnt_auto_rentals,cnt_vehicles,cnt_business_serv,cnt_clothing_stores,cnt_contracted_serv,cnt_direct_marketing,cnt_govt_serv,cnt_hotel,cnt_misc,cnt_personal_serv_prov,cnt_repair_serv,cnt_retail_stores,cnt_service_prov,cnt_transport,cnt_utilities,cnt_wholesale_distributor,tot_tran_cnt,amt_airlines,amt_entertainment,amt_auto_rentals,amt_vehicles,amt_business_serv,amt_clothing_stores,amt_contracted_serv,amt_direct_marketing,amt_govt_serv,amt_hotel,amt_misc,amt_personal_serv_prov,amt_repair_serv,amt_retail_stores,amt_service_prov,amt_transport,amt_utilities,amt_wholesale_distributor,tot_tran_amt,payment
1,0,0,0,0,0,1,0,0,0,1,3,1,0,2,0,1,0,0,9,846,328,413,370,116,793,21,116,518,1343,2210,762,53,1311,370,497,455,53,10575,5287.5
2,0,1,0,1,0,2,0,0,1,1,5,1,0,4,0,1,1,0,18,366,142,178,160,50,343,9,50,224,580,955,329,23,567,160,215,197,23,4571,2285.5
3,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,1,0,0,7,1758,681,857,769,242,1648,44,242,1077,2791,4592,1582,110,2725,769,1033,945,110,21975,10987.5
4,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,1,0,0,7,31,12,15,14,4,29,1,4,19,49,81,28,2,48,14,18,17,2,388,194
5,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,41,16,20,18,6,38,1,6,25,64,106,37,3,63,18,24,22,3,511,127.75
6,0,1,0,1,0,2,0,1,1,2,6,1,0,6,0,1,1,0,23,683,265,333,299,94,640,17,94,418,1084,1783,614,43,1058,299,401,367,43,8535,4267.5
7,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,1,0,0,7,69,27,34,30,10,64,2,10,42,109,179,62,4,106,30,40,37,4,859,429.5
8,0,1,0,1,0,2,0,1,1,1,5,1,0,5,0,1,1,0,20,705,273,344,309,97,661,18,97,432,1119,1842,635,44,1093,309,414,379,44,8815,4407.5
10,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,5,622,241,303,272,86,583,16,86,381,987,1624,560,39,964,272,365,334,39,7774,1166.1
11,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,57,22,28,25,8,53,2,8,35,90,148,51,4,88,25,33,30,4,711,711
13,0,1,0,1,0,1,0,0,1,1,3,1,0,3,0,1,1,0,14,3138,1216,1530,1373,432,2942,79,432,1922,4981,8197,2824,196,4863,1373,1843,1687,196,39224,39224
14,0,1,0,1,0,2,0,1,1,1,5,1,0,5,0,1,1,0,20,27,10,13,12,4,25,1,4,16,42,69,24,2,41,12,16,14,2,334,334
17,0,1,0,1,0,2,0,1,1,1,6,1,0,5,0,1,1,0,21,383,148,187,168,53,359,10,53,235,608,1000,345,24,593,168,225,206,24,4789,4789
18,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,0,0,0,6,43,17,21,19,6,40,1,6,26,68,112,39,3,66,19,25,23,3,537,537
19,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,1,0,0,7,1044,405,509,457,144,979,26,144,640,1658,2728,940,65,1619,457,614,561,65,13055,13055
20,0,1,0,0,0,1,0,0,1,1,3,1,0,3,0,1,1,0,13,239,93,116,104,33,224,6,33,146,379,623,215,15,370,104,140,128,15,2983,745.75
22,0,1,0,1,0,2,0,0,1,1,5,1,0,4,0,1,1,0,18,40,16,20,18,6,38,1,6,25,64,105,36,3,62,18,24,22,3,507,126.75
23,0,1,0,1,0,2,0,1,1,1,6,1,0,5,0,1,1,0,21,12,5,6,5,2,11,0,2,7,19,31,11,1,19,5,7,7,1,151,75.5
24,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,0,0,0,6,269,104,131,118,37,252,7,37,165,427,703,242,17,417,118,158,145,17,3364,3364
25,0,1,0,1,0,1,0,0,1,1,4,1,0,4,0,1,1,0,16,44,17,21,19,6,41,1,6,27,70,115,40,3,68,19,26,24,3,550,275
26,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,5445,2110,2655,2382,749,5105,136,749,3335,8645,14226,4901,340,8440,2382,3199,2927,340,68066,34033
27,0,0,0,0,0,1,0,0,0,1,3,1,0,2,0,1,0,0,9,554,215,270,242,76,519,14,76,339,879,1447,498,35,858,242,325,298,35,6922,6922
29,0,1,0,1,0,1,0,0,1,1,4,1,0,4,0,1,1,0,16,45,18,22,20,6,42,1,6,28,72,118,41,3,70,20,27,24,3,566,566
