"id","cnt_airlines","cnt_entertainment","cnt_auto_rentals","cnt_vehicles","cnt_business_serv","cnt_clothing_stores","cnt_contracted_serv","cnt_direct_marketing","cnt_govt_serv","cnt_hotel","cnt_misc","cnt_personal_serv_prov","cnt_repair_serv","cnt_retail_stores","cnt_service_prov","cnt_transport","cnt_utilities","cnt_wholesale_distributor","tot_tran_cnt","amt_airlines","amt_entertainment","amt_auto_rentals","amt_vehicles","amt_business_serv","amt_clothing_stores","amt_contracted_serv","amt_direct_marketing","amt_govt_serv","amt_hotel","amt_misc","amt_personal_serv_prov","amt_repair_serv","amt_retail_stores","amt_service_prov","amt_transport","amt_utilities","amt_wholesale_distributor","tot_tran_amt","payment"
1,3,1,2,1,3,2,3,2,1,1,5,1,1,4,3,1,1,1,36,61,24,30,27,9,57,2,9,38,97,160,55,4,95,27,36,33,4,768,768
2,1,1,3,3,1,1,3,2,2,1,2,1,1,2,2,1,2,3,32,2119,821,1033,927,291,1987,53,291,1298,3364,5536,1907,133,3285,927,1245,1139,133,26489,26489
4,2,2,1,1,2,1,3,1,1,1,3,1,2,2,3,1,1,2,30,1806,700,881,790,248,1693,45,248,1106,2867,4719,1626,113,2800,790,1061,971,113,22577,22577
5,1,1,2,1,3,1,2,3,1,1,3,1,2,3,1,1,1,2,30,33,13,16,14,5,31,1,5,20,52,86,30,2,51,14,19,18,2,412,412
6,2,2,2,2,1,1,3,2,2,3,1,1,2,1,2,3,2,2,34,78,30,38,34,11,73,2,11,48,124,203,70,5,121,34,46,42,5,975,243.75
7,2,1,1,1,2,2,1,1,1,1,6,1,2,5,3,1,1,1,33,671,260,327,293,92,629,17,92,411,1064,1752,604,42,1039,293,394,360,42,8382,4191
8,1,3,1,1,1,1,0,2,2,1,3,1,3,2,2,1,1,2,28,11,4,6,5,2,11,0,2,7,18,29,10,1,17,5,7,6,1,142,71
9,1,1,1,1,1,1,2,3,1,1,3,1,3,3,2,1,1,3,30,322,125,157,141,44,302,8,44,197,511,841,290,20,499,141,189,173,20,4024,603.6
11,1,1,3,2,3,1,0,2,1,1,3,1,1,3,1,1,1,1,27,10,4,5,5,2,10,0,2,6,16,27,9,1,16,5,6,6,1,131,131
12,1,1,1,1,2,1,3,2,1,1,4,1,2,4,3,1,1,2,32,51,20,25,23,7,48,1,7,32,82,134,46,3,80,23,30,28,3,643,160.75
13,2,1,1,1,2,2,2,1,1,1,5,1,3,5,1,1,1,3,34,380,147,185,166,52,356,10,52,233,603,992,342,24,589,166,223,204,24,4748,1187
16,2,2,2,3,2,1,1,2,2,1,2,2,1,2,1,2,1,1,30,3499,1356,1706,1531,481,3280,88,481,2143,5555,9141,3149,219,5423,1531,2056,1881,219,43739,43739
17,3,3,3,2,3,1,1,3,1,1,3,1,1,2,1,1,1,2,33,30,12,15,13,4,29,1,4,19,48,79,27,2,47,13,18,16,2,379,18.95
18,2,2,2,2,2,1,1,3,1,1,3,1,2,2,1,1,1,2,30,1580,612,771,691,217,1482,40,217,968,2509,4129,1422,99,2450,691,929,850,99,19756,19756
21,2,1,1,1,3,1,2,3,1,1,4,1,2,3,2,1,1,2,32,1513,586,738,662,208,1419,38,208,927,2402,3953,1362,95,2345,662,889,813,95,18915,18915
22,1,2,2,2,2,1,1,1,2,1,2,3,1,2,2,1,1,2,29,491,190,240,215,68,461,12,68,301,780,1283,442,31,761,215,289,264,31,6142,3071
23,2,1,3,1,1,1,2,3,1,1,3,1,1,3,3,1,1,2,31,33,13,16,15,5,31,1,5,20,52,86,30,2,51,15,19,18,2,414,207
24,2,1,3,3,1,1,2,3,1,1,3,1,1,3,2,1,1,3,33,20,8,10,9,3,18,1,3,12,31,51,18,1,30,9,12,11,1,248,37.2
25,1,1,1,1,1,1,2,1,1,1,4,1,3,4,1,1,1,3,29,296,115,144,130,41,278,8,41,181,470,774,267,19,459,130,174,159,19,3705,1852.5
26,3,1,1,1,1,1,0,1,1,1,3,1,1,3,1,1,1,1,23,10,4,5,4,1,9,0,1,6,15,25,9,1,15,4,6,5,1,121,6.05
27,2,1,3,1,1,1,1,2,1,1,4,1,1,3,1,1,1,3,29,85,33,42,37,12,80,2,12,52,136,223,77,5,132,37,50,46,5,1066,1066
28,2,1,1,1,1,1,2,3,1,1,4,1,2,4,2,1,1,3,32,460,178,224,201,63,431,12,63,282,730,1201,414,29,713,201,270,247,29,5748,2874
29,3,1,1,2,2,1,1,1,1,1,3,1,2,3,2,1,1,1,28,1318,511,642,577,181,1235,33,181,807,2092,3442,1186,82,2042,577,774,708,82,16470,16470
