id,cnt_airlines,cnt_entertainment,cnt_auto_rentals,cnt_vehicles,cnt_business_serv,cnt_clothing_stores,cnt_contracted_serv,cnt_direct_marketing,cnt_govt_serv,cnt_hotel,cnt_misc,cnt_personal_serv_prov,cnt_repair_serv,cnt_retail_stores,cnt_service_prov,cnt_transport,cnt_utilities,cnt_wholesale_distributor,tot_tran_cnt,amt_airlines,amt_entertainment,amt_auto_rentals,amt_vehicles,amt_business_serv,amt_clothing_stores,amt_contracted_serv,amt_direct_marketing,amt_govt_serv,amt_hotel,amt_misc,amt_personal_serv_prov,amt_repair_serv,amt_retail_stores,amt_service_prov,amt_transport,amt_utilities,amt_wholesale_distributor,tot_tran_amt,payment
1,0,1,0,1,0,1,0,0,1,1,3,1,0,3,0,1,1,0,14,104,40,51,45,14,97,3,14,64,165,271,93,7,161,45,61,56,7,1298,1298
2,0,0,0,0,0,1,0,0,0,1,3,1,0,2,0,1,0,0,9,133,51,65,58,18,124,3,18,81,211,346,119,8,206,58,78,71,8,1656,828
3,0,1,0,1,0,1,0,0,1,1,3,1,0,3,0,1,1,0,14,13,5,6,6,2,12,0,2,8,21,34,12,1,20,6,8,7,1,164,82
4,0,1,0,1,0,2,0,1,1,1,5,1,0,5,0,1,1,0,20,15,6,7,7,2,14,0,2,9,24,39,14,1,23,7,9,8,1,188,188
5,0,1,0,1,0,1,0,0,1,1,3,1,0,3,0,1,1,0,14,242,94,118,106,33,227,6,33,148,384,632,218,15,375,106,142,130,15,3024,3024
6,0,0,0,0,0,1,0,0,1,1,3,1,0,2,0,1,1,0,11,6540,2534,3188,2861,899,6131,164,899,4006,10382,17086,5886,409,10137,2861,3842,3515,409,81749,4087.45
7,0,1,0,1,0,2,0,1,1,1,5,1,0,5,0,1,1,0,20,32,13,16,14,5,30,1,5,20,51,84,29,2,50,14,19,17,2,404,404
8,0,1,0,1,0,1,0,0,1,1,4,1,0,4,0,1,1,0,16,3717,1440,1812,1626,511,3484,93,511,2277,5900,9710,3345,232,5761,1626,2184,1998,232,46459,46459
9,0,0,0,0,0,1,0,0,1,1,3,1,0,2,0,1,1,0,11,73,28,36,32,10,69,2,10,45,116,191,66,5,113,32,43,39,5,915,457.5
10,0,0,0,0,0,1,0,0,0,1,3,1,0,2,0,1,0,0,9,5336,2068,2601,2334,734,5002,133,734,3268,8470,13939,4802,334,8270,2334,3135,2868,334,66696,66696
11,0,1,0,1,0,1,0,0,1,1,4,1,0,4,0,1,1,0,16,13,5,6,6,2,12,0,2,8,20,33,11,1,19,6,7,7,1,159,23.85
13,0,1,0,1,0,1,0,0,1,1,3,1,0,3,0,1,1,0,14,82,32,40,36,11,77,2,11,50,130,213,73,5,126,36,48,44,5,1021,1021
14,0,1,0,1,0,1,0,0,1,1,3,1,0,3,0,1,1,0,14,465,180,227,203,64,436,12,64,285,737,1213,418,29,720,203,273,250,29,5808,5808
15,0,1,0,1,0,2,0,0,1,1,5,1,0,4,0,1,1,0,18,1522,590,742,666,209,1427,38,209,932,2416,3976,1370,95,2359,666,894,818,95,19024,9512
16,0,0,0,0,0,1,0,0,1,1,3,1,0,2,0,1,1,0,11,177,69,86,78,24,166,5,24,109,281,463,160,11,275,78,104,95,11,2216,2216
17,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,3874,1501,1888,1695,533,3631,97,533,2373,6149,10120,3486,242,6004,1695,2276,2082,242,48421,12105.25
18,0,1,0,1,0,2,0,1,1,1,6,1,0,5,0,1,1,0,21,2574,997,1255,1126,354,2413,64,354,1576,4086,6724,2316,161,3989,1126,1512,1383,161,32171,16085.5
19,0,1,0,1,0,2,0,0,1,1,5,1,0,4,0,1,1,0,18,300,116,146,131,41,281,8,41,184,475,782,270,19,464,131,176,161,19,3745,1872.5
21,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,374,145,182,164,52,351,9,52,229,594,977,337,23,580,164,220,201,23,4677,2338.5
22,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,76,30,37,33,11,72,2,11,47,121,199,69,5,118,33,45,41,5,955,955
23,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,38,15,19,17,5,36,1,5,23,60,99,34,2,59,17,22,20,2,474,474
24,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,1807,700,881,791,249,1694,45,249,1107,2868,4720,1626,113,2801,791,1062,971,113,22588,5647
25,0,1,0,1,0,2,0,0,1,1,5,1,0,4,0,1,1,0,18,1109,430,541,485,153,1040,28,153,679,1761,2898,998,69,1719,485,652,596,69,13865,13865
27,0,1,0,1,0,1,0,0,1,1,4,1,0,4,0,1,1,0,16,717,278,350,314,99,672,18,99,439,1139,1874,646,45,1112,314,421,386,45,8968,4484
28,0,0,0,0,0,1,0,0,1,1,3,1,0,2,0,1,1,0,11,631,245,308,276,87,592,16,87,387,1002,1649,568,40,978,276,371,339,40,7892,3946
29,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8262,0,0,0,0,0,0,0,0,0,0,0,8262,4131
31,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7461,0,0,0,0,0,0,0,0,0,0,0,7461,3730.5
32,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,67,26,33,29,9,63,2,9,41,106,175,60,4,104,29,39,36,4,836,41.8
33,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,5,1280,496,624,560,176,1200,32,176,784,2032,3344,1152,80,1984,560,752,688,80,16000,16000
34,0,1,0,1,0,1,0,0,1,1,3,1,0,3,0,1,1,0,14,18,7,9,8,3,17,1,3,11,29,47,16,1,28,8,11,10,1,228,228
35,0,1,0,1,0,1,0,0,1,1,3,1,0,3,0,1,1,0,14,101,39,50,44,14,95,3,14,62,161,265,91,6,157,44,60,55,6,1267,1267
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9726208.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9726208.88,1458931.332
37,0,0,0,0,0,1,0,0,0,1,3,1,0,2,0,1,0,0,9,1917,743,935,839,264,1798,48,264,1174,3044,5009,1726,120,2972,839,1126,1031,120,23969,11984.5
39,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,46,18,23,20,6,43,1,6,28,73,120,42,3,71,20,27,25,3,575,287.5
40,0,0,0,0,0,1,0,0,0,1,3,1,0,2,0,1,0,0,9,50,20,25,22,7,47,1,7,31,80,131,45,3,78,22,30,27,3,629,314.5
41,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,400,155,195,175,55,375,10,55,245,635,1045,360,25,620,175,235,215,25,5000,5000
43,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,0,0,0,6,25,10,12,11,4,23,1,4,15,39,65,22,2,39,11,15,13,2,313,313
45,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,1,0,0,7,5395,2091,2630,2360,742,5058,135,742,3305,8565,14095,4856,337,8362,2360,3170,2900,337,67440,67440
