"id","cnt_airlines","cnt_entertainment","cnt_auto_rentals","cnt_vehicles","cnt_business_serv","cnt_clothing_stores","cnt_contracted_serv","cnt_direct_marketing","cnt_govt_serv","cnt_hotel","cnt_misc","cnt_personal_serv_prov","cnt_repair_serv","cnt_retail_stores","cnt_service_prov","cnt_transport","cnt_utilities","cnt_wholesale_distributor","tot_tran_cnt","amt_airlines","amt_entertainment","amt_auto_rentals","amt_vehicles","amt_business_serv","amt_clothing_stores","amt_contracted_serv","amt_direct_marketing","amt_govt_serv","amt_hotel","amt_misc","amt_personal_serv_prov","amt_repair_serv","amt_retail_stores","amt_service_prov","amt_transport","amt_utilities","amt_wholesale_distributor","tot_tran_amt","payment"
1,3,1,3,2,2,1,1,3,1,1,3,1,1,2,2,1,1,3,32,24,10,12,11,3,23,1,3,15,39,64,22,2,38,11,14,13,2,307,307
2,3,1,1,1,3,1,2,2,1,1,4,1,3,4,3,1,1,3,36,89,35,43,39,12,83,2,12,55,141,232,80,6,138,39,52,48,6,1112,1112
3,3,3,3,2,1,1,3,2,1,1,2,2,3,2,2,1,3,2,37,74,29,36,32,10,69,2,10,45,117,192,66,5,114,32,43,40,5,921,921
4,2,1,2,1,2,2,2,1,1,1,5,1,2,4,2,1,1,1,32,466,181,227,204,64,437,12,64,286,740,1218,420,29,723,204,274,251,29,5829,5829
5,3,1,3,1,2,2,3,1,1,1,5,1,2,4,1,1,1,3,36,710,275,346,311,98,665,18,98,435,1127,1854,639,44,1100,311,417,382,44,8874,8874
6,2,1,2,1,3,1,0,1,1,1,3,1,1,3,3,1,1,1,27,16,6,8,7,2,15,0,2,10,25,41,14,1,24,7,9,8,1,196,9.8
7,3,3,2,2,1,1,2,1,3,1,2,3,1,2,2,1,2,3,35,2623,1017,1279,1148,361,2459,66,361,1607,4164,6853,2361,164,4066,1148,1541,1410,164,32792,16396
8,2,1,2,1,3,1,3,1,1,1,4,1,3,3,1,1,1,1,31,29,11,14,13,4,27,1,4,18,45,75,26,2,44,13,17,15,2,360,360
9,2,1,1,1,1,1,2,1,1,1,4,1,3,4,1,1,1,2,29,3617,1402,1763,1582,497,3391,91,497,2215,5742,9449,3255,226,5606,1582,2125,1944,226,45210,45210
10,2,3,3,3,1,1,3,2,3,1,2,1,1,2,2,1,1,1,33,1167,452,569,511,161,1094,29,161,715,1853,3050,1051,73,1809,511,686,627,73,14592,3648
12,2,1,3,1,2,2,3,1,1,1,6,1,3,5,3,1,1,1,38,1125,436,549,492,155,1055,28,155,689,1786,2939,1013,70,1744,492,661,605,70,14064,14064
13,1,1,1,1,2,2,3,1,1,1,5,1,3,5,2,1,1,1,33,111,43,54,49,15,104,3,15,68,176,289,100,7,172,49,65,60,7,1387,346.75
14,2,2,3,3,3,1,1,2,2,1,1,3,3,1,3,2,3,2,38,198,77,97,87,27,185,5,27,121,314,517,178,12,307,87,116,106,12,2473,2473
16,2,3,1,1,1,1,1,1,2,1,2,2,2,2,3,1,1,1,28,468,181,228,205,64,439,12,64,287,743,1222,421,29,725,205,275,252,29,5849,5849
17,2,3,2,3,2,1,1,2,1,1,3,1,3,2,1,1,1,2,32,37,14,18,16,5,34,1,5,23,58,96,33,2,57,16,22,20,2,459,459
19,3,1,2,1,3,2,1,1,1,1,5,1,1,5,1,1,1,1,32,175,68,85,77,24,164,4,24,107,277,456,157,11,271,77,103,94,11,2185,546.25
21,1,2,1,2,3,1,1,3,3,1,2,3,3,2,1,1,1,3,34,21,8,10,9,3,20,1,3,13,33,54,19,1,32,9,12,11,1,260,260
22,1,1,1,1,3,1,3,3,1,1,4,1,1,3,3,1,1,3,33,55,21,27,24,8,52,1,8,34,87,144,50,4,85,24,32,30,4,690,345
23,3,2,3,3,2,1,1,3,1,1,3,1,2,2,2,1,1,2,34,72,28,35,31,10,67,2,10,44,114,187,65,5,111,31,42,39,5,898,898
24,3,1,1,1,1,1,1,3,3,1,2,2,3,2,1,3,1,1,31,1834,711,894,802,252,1719,46,252,1123,2911,4791,1650,115,2842,802,1077,986,115,22922,22922
