id,cnt_airlines,cnt_entertainment,cnt_auto_rentals,cnt_vehicles,cnt_business_serv,cnt_clothing_stores,cnt_contracted_serv,cnt_direct_marketing,cnt_govt_serv,cnt_hotel,cnt_misc,cnt_personal_serv_prov,cnt_repair_serv,cnt_retail_stores,cnt_service_prov,cnt_transport,cnt_utilities,cnt_wholesale_distributor,tot_tran_cnt,amt_airlines,amt_entertainment,amt_auto_rentals,amt_vehicles,amt_business_serv,amt_clothing_stores,amt_contracted_serv,amt_direct_marketing,amt_govt_serv,amt_hotel,amt_misc,amt_personal_serv_prov,amt_repair_serv,amt_retail_stores,amt_service_prov,amt_transport,amt_utilities,amt_wholesale_distributor,tot_tran_amt,payment
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,0,1,0,2,0,0,1,1,5,1,0,4,0,1,1,0,18,54,21,26,24,8,51,1,8,33,86,141,49,3,84,24,32,29,3,677,338.5
6,0,1,0,1,0,2,0,1,1,1,5,1,0,5,0,1,1,0,20,759,294,370,332,104,712,19,104,465,1205,1984,683,48,1177,332,446,408,48,9490,4745
7,0,1,0,1,0,2,0,0,1,1,5,1,0,4,0,1,1,0,18,125,49,61,55,17,117,3,17,77,199,327,113,8,194,55,74,67,8,1566,783
9,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,13,5,6,6,2,12,0,2,8,21,34,12,1,20,6,8,7,1,164,82
10,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,751,291,366,329,103,704,19,103,460,1192,1962,676,47,1164,329,441,404,47,9388,2347
11,0,1,0,1,0,1,0,0,1,1,4,1,0,4,0,1,1,0,16,389,151,190,170,54,364,10,54,238,617,1015,350,24,602,170,228,209,24,4859,4859
12,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,47,18,23,21,7,44,1,7,29,74,122,42,3,73,21,28,25,3,588,294
13,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,133,52,65,58,18,125,3,18,82,211,348,120,8,206,58,78,72,8,1663,83.15
14,0,1,0,0,0,1,0,0,1,1,3,1,0,3,0,1,1,0,13,556,215,271,243,76,521,14,76,340,882,1451,500,35,861,243,326,299,35,6944,1736
17,0,1,0,1,0,1,0,0,1,1,4,1,0,4,0,1,1,0,16,140,54,68,61,19,131,4,19,86,222,365,126,9,217,61,82,75,9,1748,874
18,0,1,0,1,0,1,0,0,1,1,4,1,0,4,0,1,1,0,16,87,34,43,38,12,82,2,12,53,138,228,79,6,135,38,51,47,6,1091,545.5
20,0,1,0,0,0,1,0,0,1,1,3,1,0,3,0,1,1,0,13,20,8,10,9,3,19,1,3,12,32,53,18,1,31,9,12,11,1,253,126.5
21,0,1,0,1,0,2,0,0,1,1,5,1,0,4,0,1,1,0,18,637,247,310,279,88,597,16,88,390,1011,1663,573,40,987,279,374,342,40,7961,3980.5
23,0,0,0,0,0,1,0,0,1,1,3,1,0,2,0,1,1,0,11,1456,564,710,637,200,1365,37,200,892,2312,3804,1311,91,2257,637,856,783,91,18203,18203
24,0,0,0,0,0,1,0,0,1,1,3,1,0,2,0,1,1,0,11,231,90,113,101,32,217,6,32,142,367,604,208,15,359,101,136,124,15,2893,2893
26,1,1,0,1,0,2,0,1,1,2,7,1,0,6,0,1,1,0,25,154,60,75,68,21,145,4,21,95,245,403,139,10,239,68,91,83,10,1931,965.5
27,0,0,0,0,0,1,0,0,1,1,3,1,0,2,0,1,1,0,11,688,267,336,301,95,645,17,95,422,1093,1798,620,43,1067,301,404,370,43,8605,8605
28,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,1890,732,921,827,260,1772,47,260,1158,3000,4938,1701,118,2930,827,1110,1016,118,23625,23625
29,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2574,0,0,0,0,0,0,0,0,0,0,0,2574,1287
30,0,0,0,0,0,1,0,0,1,1,3,1,0,2,0,1,1,0,11,44,17,21,19,6,41,1,6,27,69,113,39,3,67,19,26,23,3,544,272
31,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,938,140.7
32,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,0,0,0,6,120,47,59,53,17,112,3,17,73,190,313,108,8,186,53,70,65,8,1502,751
33,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,576,223,281,252,79,540,15,79,353,915,1506,519,36,893,252,339,310,36,7204,1801
34,0,1,0,1,0,1,0,0,1,1,3,1,0,3,0,1,1,0,14,12,5,6,5,2,11,0,2,7,19,32,11,1,19,5,7,7,1,152,152
38,0,1,0,1,0,2,0,0,1,1,5,1,0,4,0,1,1,0,18,1848,716,901,808,254,1732,46,254,1132,2933,4827,1663,116,2864,808,1086,993,116,23097,23097
39,0,1,0,1,0,2,0,1,1,2,7,1,0,6,0,1,1,0,24,136,53,66,59,19,127,3,19,83,216,355,122,9,210,59,80,73,9,1698,849
41,0,1,0,1,0,2,0,0,1,1,5,1,0,4,0,1,1,0,18,788,305,384,345,108,739,20,108,483,1251,2058,709,49,1221,345,463,423,49,9848,4924
43,0,1,0,1,0,2,0,1,1,1,6,1,0,5,0,1,1,0,21,31,12,15,13,4,29,1,4,19,48,80,28,2,47,13,18,16,2,382,19.1
45,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,162,63,79,71,22,152,4,22,100,258,424,146,10,252,71,96,87,10,2029,1014.5
46,0,1,0,1,0,2,0,1,1,1,6,1,0,5,0,1,1,0,21,3205,1242,1562,1402,441,3005,80,441,1963,5088,8372,2884,200,4967,1402,1883,1723,200,40060,40060
47,0,0,0,0,0,1,0,0,0,1,3,1,0,2,0,1,0,0,9,113,44,55,50,16,106,3,16,70,180,296,102,7,176,50,67,61,7,1419,709.5
48,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,15,6,7,7,2,14,0,2,9,24,40,14,1,24,7,9,8,1,190,47.5
49,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,0,0,0,6,9,4,4,4,1,8,0,1,6,14,23,8,1,14,4,5,5,1,112,112
50,0,0,0,0,0,1,0,0,0,1,3,1,0,2,0,1,0,0,9,10,4,5,4,1,9,0,1,6,16,26,9,1,16,4,6,5,1,124,124
52,0,1,0,1,0,2,0,1,1,1,5,1,0,5,0,1,1,0,20,2584,1001,1260,1131,355,2423,65,355,1583,4103,6751,2326,162,4006,1131,1518,1389,162,32305,32305
53,0,1,0,1,0,1,0,0,1,1,4,1,0,4,0,1,1,0,16,1634,633,797,715,225,1532,41,225,1001,2594,4269,1471,102,2533,715,960,878,102,20427,10213.5
54,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,12,5,6,5,2,12,0,2,8,20,32,11,1,19,5,7,7,1,155,77.5
55,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,2028,786,989,887,279,1901,51,279,1242,3219,5297,1825,127,3143,887,1191,1090,127,25348,25348
56,1,1,0,1,0,2,0,1,1,2,7,1,0,7,0,2,1,0,27,8,3,4,4,1,8,0,1,5,13,22,8,1,13,4,5,5,1,106,106
58,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,1,0,0,7,511,198,249,223,70,479,13,70,313,811,1334,460,32,792,223,300,275,32,6385,3192.5
60,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,1238,480,603,542,170,1160,31,170,758,1965,3233,1114,77,1918,542,727,665,77,15470,7735
61,0,0,0,0,0,1,0,0,0,1,3,1,0,2,0,1,0,0,9,1656,642,807,724,228,1552,41,228,1014,2628,4325,1490,104,2566,724,973,890,104,20696,20696
62,0,1,0,1,0,1,0,0,1,1,4,1,0,4,0,1,1,0,16,1607,623,783,703,221,1507,40,221,984,2551,4198,1446,101,2491,703,944,864,101,20088,20088
63,0,1,0,1,0,1,0,0,1,1,3,1,0,3,0,1,1,0,14,687,266,335,300,95,644,17,95,421,1090,1794,618,43,1064,300,403,369,43,8584,8584
64,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,1,0,0,7,50,19,24,22,7,47,1,7,31,79,130,45,3,77,22,29,27,3,623,623
65,0,0,0,0,0,1,0,0,0,1,3,1,0,2,0,1,0,0,9,315,122,154,138,43,296,8,43,193,500,824,284,20,489,138,185,170,20,3942,197.1
66,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,1,0,0,7,23,9,11,10,3,21,1,3,14,36,59,20,2,35,10,13,12,2,284,284
67,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,346,134,169,152,48,325,9,48,212,550,905,312,22,537,152,204,186,22,4333,4333
68,0,1,0,1,0,1,0,0,1,1,4,1,0,4,0,1,1,0,16,39,15,19,17,5,37,1,5,24,62,102,35,3,61,17,23,21,3,489,24.45
69,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,5,212,82,103,93,29,199,5,29,130,336,553,191,13,328,93,124,114,13,2647,1323.5
70,0,1,0,1,0,1,0,0,1,1,4,1,0,4,0,1,1,0,16,1577,611,769,690,217,1479,40,217,966,2504,4120,1419,99,2444,690,927,848,99,19716,19716
72,0,0,0,0,0,1,0,0,0,1,3,1,0,2,0,1,0,0,9,190,74,93,83,26,179,5,26,117,302,497,171,12,295,83,112,102,12,2379,2379
73,1,1,0,1,0,2,0,1,1,2,8,1,0,7,0,2,1,0,28,308,120,150,135,42,289,8,42,189,489,805,277,19,478,135,181,166,19,3852,1926
74,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,30315,0,0,0,0,0,0,0,0,0,0,0,30315,30315
